REPORTING_YEAR,CHEM_NAME,REL_EST_AMT,CARCINOGEN,CLEAN_AIR,LIST_3350,PFAS_IND,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,ZIP_CODE,REGION,TOTAL_RELEASE
2015,Styrene,230,Y,Y,N,0,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,15025,3,230
2016,Diisocyanates,0,N,Y,N,0,2000 WESTHALL ST,PITTSBURGH,ALLEGHENY,PA,15233,3,0
2018,Chromium compounds (except for chromite ore mined in the Transvaal Region),6,N,Y,Y,0,1300 BRADDOCK AVE,BRADDOCK,ALLEGHENY,PA,15104,3,6
2018,Carbon disulfide,27426,N,Y,N,0,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,15025,3,27426
2015,Methanol,0,N,Y,N,0,1300 BRADDOCK AVE,BRADDOCK,ALLEGHENY,PA,15104,3,
2016,Triethylamine,0,N,Y,N,0,3419 SMALLMAN ST,PITTSBURGH,ALLEGHENY,PA,15201,3,0
2018,Copper compounds,11,N,N,N,0,200 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,11
2020,Nitric acid,5,N,N,N,0,100 RIVER RD,BRACKENRIDGE,ALLEGHENY,PA,15014,3,5
2017,Naphthalene,66,Y,Y,N,0,2800 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,66
2017,Naphthalene,509,Y,Y,N,0,2800 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,509
2020,1 2 4-Trimethylbenzene,1059.98,N,N,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,1059.98
2020,1 2 4-Trimethylbenzene,12.92,N,N,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,12.92
2017,Manganese,30.33,N,Y,N,0,200 BRADDOCK AVE,TURTLE CREEK,ALLEGHENY,PA,15145,3,30.33
2015,Certain glycol ethers,0,N,Y,N,0,616 HITE RD,HARWICK,ALLEGHENY,PA,15049,3,
2019,n-Hexane,770,N,Y,N,0,9 THORN ST,CORAOPOLIS,ALLEGHENY,PA,15108,3,770
